 #  i    j    sig_ij*10    eps_ij    lr_ij    la_ij 
  PFH    PFH     0.443     298.30     20.21      6.00
  PFH    W       0.367     314.79     12.63      6.00
  PFH    NA      0.387      36.67     15.45      6.00
  PFH    CL      0.442     121.28     15.45      6.00
  W      W       0.291     378.87      8.39      6.00
  W      NA      0.310      42.44      9.96      6.00
  W      CL      0.365     128.25      9.96      6.00
  NA     NA      0.330       4.81     12.00      6.00
  NA     CL      0.385      14.93     12.00      6.00
  CL     CL      0.440      49.31     12.00      6.00
